Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,29/12/2017,0000041423,E-SECURE SARL,CHE,COMPUTER SERVICES,"206,884"
HQSMS,29/12/2017,0000041425,Open Systems AG,CHE,SECURITY/ SAFETY SERVICES,"373,690"
HQSMS,29/12/2017,0000041427,TOYOTA MOTOR CORPORATION,JPN,4x4 DC PICK-UP,"1,048,969"
HQSMS,29/12/2017,0000041427,TOYOTA MOTOR CORPORATION,JPN,4x4 SC PICP-UP,"236,233"
HQSMS,29/12/2017,0000041427,TOYOTA MOTOR CORPORATION,JPN,4x4 STATION WAGON,"3,169,908"
HQSMS,29/12/2017,0000041427,TOYOTA MOTOR CORPORATION,JPN,MINIBUS,"178,187"
HQSMS,29/12/2017,0000041432,WHO (UNICC),CHE,COMPUTER SERVICES,"146,000"
HQSMS,29/12/2017,0000041435,HCL Technologies Limited,IND,FINANCIAL SERVICES,"197,440"
HQSMS,29/12/2017,0000041437,GOLDEN AFRICA KENYA LIMITED,KEN,SOAP/CLEANING /HYGIENE SUPPLIE,"259,000"
KEN01,29/12/2017,0000010534,DALBIT PETROLEUM LIMITED,KEN,DIESEL,"183,374"
KEN01,29/12/2017,0000010535,EQUITY BANK KENYA LTD,KEN,FINANCIAL SERVICES,"122,798"
UGA01,29/12/2017,0000006599,Blue Pearls Co Limited,UGA,CARGO/PASSENGER TRANSPORT,"4,000,000"
BGD01,28/12/2017,0000001299,S. M. ENTERPRISE,BGD,FUELS (UNSPECIFIED),"105,059"
BGD01,28/12/2017,0000001300,M/s. Zim Traders,BGD,FUELS (UNSPECIFIED),"128,040"
BGD01,28/12/2017,0000001303,Shopno Construction,BGD,MAINTENANCE/ CONSTRUCTION SER,"251,639"
BGD01,28/12/2017,0000001305,M/S. Moss Enterprise,BGD,BLANKETS,"436,791"
BGD01,28/12/2017,0000001306,M/S Zaman Bhai (Pvt). Ltd,BGD,BEDCLOTHES/ MATRESSES/ TOWELS,"464,320"
BGD01,28/12/2017,0000001307,M/S. Moss Enterprise,BGD,BLANKETS,"218,395"
BGD01,28/12/2017,0000001312,Modern Graphics Stationary Supply,BGD,WATER TREATMENT EQUIP/ SUPPL,"1,662,741"
BGD01,28/12/2017,0000001313,Shopno Construction,BGD,MAINTENANCE/ CONSTRUCTION SER,"101,311"
BGD01,28/12/2017,0000001316,Neo Craft,BGD,BEDCLOTHES/ MATRESSES/ TOWELS,"210,137"
BGD01,28/12/2017,0000001319,FARDIN TRADERS,BGD,WATER BUCKET/ BASINE,"112,055"
CMR01,28/12/2017,0000004811,DGSN-CAMEROUN,CMR,SIGNAGE/ PI ACCESSORIES,"169,375"
COD01,28/12/2017,0000007072,AFRICAN INITIATIVE FOR RELIEF AND DEV.,COD,BUSINESS/ ADMINISTRATIVE SER,"335,315"
DONIK,28/12/2017,0000000495,Dept.Foreign Affairs devel. Co-operation,IRL,BUSINESS/ ADMINISTRATIVE SER,"146,000"
DONIK,28/12/2017,0000000496,The Swedish Civil Contingencies,SWE,BUSINESS/ ADMINISTRATIVE SER,"721,000"
DONIK,28/12/2017,0000000497,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"1,249,000"
DONIK,28/12/2017,0000000498,DANISH REFUGEE COUNCIL,DNK,BUSINESS/ ADMINISTRATIVE SER,"330,000"
DONIK,28/12/2017,0000000499,Norwegian Refugee council,NOR,BUSINESS/ ADMINISTRATIVE SER,"724,500"
DONIK,28/12/2017,0000000500,RedR Australia Ltd,CHE,BUSINESS/ ADMINISTRATIVE SER,"121,000"
ETH01,28/12/2017,0000006335,Tadesse Hailu Building contractor,ETH,MAINTENANCE/ CONSTRUCTION SER,"111,821"
