Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
CAF01,31/12/2018,0000002098,MERCY CORPS,CAF,BUSINESS/ ADMINISTRATIVE SER,"176,655"
GRC01,31/12/2018,0000003263,KIMONAS SAXIONIS-X.SAXIONI OE,GRC,MEETING/TRAVEL/ FOOD SER,"180,000"
HQSMS,31/12/2018,0000045572,African Generator Company,ZAF,POWER GENERATORS,"151,092"
HQSMS,31/12/2018,0000045579,TOYOTA TSUSHO CORPORATION,JPN,4x4 STATION WAGON,"424,386"
HQSMS,31/12/2018,0000045579,TOYOTA TSUSHO CORPORATION,JPN,SEDAN,"295,411"
HQSMS,31/12/2018,0000045586,African Generator Company,ZAF,WATER COOLED POWER GENERATORS,"103,375"
PAK01,31/12/2018,0000005890,Pakistan Poverty Alleviation Fund,PAK,BUSINESS/ ADMINISTRATIVE SER,"375,803"
ETH01,30/12/2018,0000007597,PHARMALAB PLC,ETH,MISC LABORATORY EQUIP/SUPPL,"370,200"
SSD01,29/12/2018,0000003813,THE MEDICAL EXPORT GROUP BV,NLD,MISC MEDICAL SUPPLIES,"119,307"
COD01,28/12/2018,0000007773,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"312,679"
COD01,28/12/2018,0000007774,EASTERN SURGICAL COMPANY,IND,MISC MEDICAL SUPPLIES,"245,003"
HQSMS,28/12/2018,0000045502,UltiSat Inc.,USA,NETWORK COMPONENTS / ACCESS,"327,784"
HQSMS,28/12/2018,0000045508,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"2,429,511"
HQSMS,28/12/2018,0000045517,TOTAL ACCESS TO ENERGY SOLUTIONS,FRA,LAMP/ LAMP COMPONENTS,"1,085,400"
HQSMS,28/12/2018,0000045518,TOTAL ACCESS TO ENERGY SOLUTIONS,FRA,LAMP/ LAMP COMPONENTS,"317,602"
HQSMS,28/12/2018,0000045522,O.K.I. GENERAL TRADING LLC,ARE,KITCHENWARE,"105,072"
HQSMS,28/12/2018,0000045523,KITCHEN ESSENTIALS,IND,KITCHENWARE,"249,054"
HQSMS,28/12/2018,0000045524,ICOM FRANCE,FRA,VHF EQUIPMENT,"103,069"
