Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
ETH01,28-12-12,0000002420,The Swedish Civil Contingencies,SWE,BUSINESS/ ADMINISTRATIVE SER,"935,065.00"
LBN01,28-12-12,0000000615,CARITAS,LBN,BUSINESS/ ADMINISTRATIVE SER,"1,152,850.91"
HQSMS,28-12-12,0000022011,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"196,500.00"
HQSMS,28-12-12,0000022016,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"145,800.00"
HQSMS,28-12-12,0000022019,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"462,000.00"
HQSMS,28-12-12,0000022025,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"329,175.00"
HQSMS,28-12-12,0000022029,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"774,000.00"
HQSMS,28-12-12,0000022032,NATIONAL TENT HOUSE,PAK,BLANKETS,"396,800.00"
HQSMS,28-12-12,0000022035,N-R-S INTERNATIONAL -  FZE,ARE,BLANKETS,"198,100.00"
HQSMS,27-12-12,0000021991,RELTEX TARPAULINS (AFRICA) EPZ LTD,KEN,PLASTIC PRODUCTS (SHEETS & ROL,"234,540.00"
HQSMS,27-12-12,0000021998,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"1,917,300.00"
HQSMS,27-12-12,0000022001,INDO-DANE TEXTILE INDUSTRIES PVT. LTD.,IND,BLANKETS,"116,950.40"
HQSMS,27-12-12,0000021996,TOYOTA GIBRALTAR STOCKHOLDINGS LTD,GBR,TERRAIN VEHICLES,"274,665.14"
LBN01,27-12-12,0000000613,International Medical Corps,LBN,BUSINESS/ ADMINISTRATIVE SER,"614,796.00"
LBN01,27-12-12,0000000612,NORWEGIAN REFUGEE COUNCIL(NRC),LBN,BUSINESS/ ADMINISTRATIVE SER,"134,691.00"
HQSMS,24-12-12,0000021978,RELTEX TARPAULINS (AFRICA) EPZ LTD,KEN,PLASTIC PRODUCTS (SHEETS & ROL,"403,350.00"
HQSMS,24-12-12,0000021975,BIDCO OIL REFINERIES LIMITED,KEN,SOAP/CLEANING /HYGIENE SUPPLIE,"176,800.00"
HQSMS,24-12-12,0000021986,The UN WORLD FOOD PROGRAMME,ITA,TRANSPORT SUPPORT,"119,000.00"
HQSMS,24-12-12,0000021987,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"178,600.00"
JOR01,23-12-12,0000001744,Al-Qudah Trading Co.,JOR,PREPARED/ PRESERVED FOODS,"122,796.61"
SYR01,23-12-12,0000003230,NEW MACHINARY CO.,SYR,TRANSPORT SUPPORT,"143,150.00"
SYR01,23-12-12,0000003231,FILM TRADING COMPANY,SYR,MISC MEDICAL SUPPLIES,"128,750.00"
SYR01,23-12-12,0000003232,MEDICAL GROUP,SYR,MISC MEDICAL SUPPLIES,"241,000.00"
SYR01,23-12-12,0000003234,ALAMIN MEDICAL INSTRUMENTS CO.,SYR,MISC MEDICAL SUPPLIES,"320,013.00"
IRQ01,23-12-12,0000001534,Islamic Relief Worldwide,GBR,BUSINESS/ ADMINISTRATIVE SER,"870,721.75"
JOR01,23-12-12,0000001746,Jordan Pioneer For Metal Industry,JOR,PREFABRICATED House,"197,782.48"
SYR01,23-12-12,0000003241,ALFAISALIAH MEDICAL SYSTEMS CO.,SYR,MISC MEDICAL SUPPLIES,"128,363.64"
SYR01,23-12-12,0000003239,ALFAISALIAH MEDICAL SYSTEMS CO.,SYR,MISC MEDICAL SUPPLIES,"101,985.00"
LBN01,22-12-12,0000000599,ETS NAHEED KHAWEJA,LBN,COOKING STOVES,"170,460.00"
KEN01,22-12-12,0000005652,NORWEGIAN REFUGEE COUNCIL (NRC),KEN,BUSINESS/ ADMINISTRATIVE SER,"347,140.58"
LBN01,22-12-12,0000000603,ETS NAHEED KHAWEJA,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"204,800.00"
NER01,22-12-12,0000000122,COMPAGNIE C.SERIE,NER,BUSINESS/ ADMINISTRATIVE SER,"136,444.83"
HQSMS,22-12-12,0000021963,N-R-S INTERNATIONAL -  FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"195,040.00"
ZMB01,22-12-12,0000001280,REFUGEE COMMISSION - MAHEBA,ZMB,BUSINESS/ ADMINISTRATIVE SER,"186,806.88"
HQSMS,22-12-12,0000021969,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"415,800.00"
