Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
JOR01,03/01/2013,0000001753,Food Security stores,JOR,PREPARED/ PRESERVED FOODS,"308,629.94"
JOR01,03/01/2013,0000001754,International for foam and Mattresses,JOR,BEDCLOTHES/ MATRESSES/ TOWELS,"228,725.99"
TCD01,03/01/2013,0000003814,ALI  ISSA TCHAIMI,TCD,BUSINESS/ ADMINISTRATIVE SER,"145,574.52"
SSD01,04/01/2013,0000000505,FIXBILL LIMITED,SSD,BUSINESS/ ADMINISTRATIVE SER,"115,200.00"
BRA01,07/01/2013,0000000164,VS INVESTIMENTOS E PARTICIPACOES LTDA,BRA,BUSINESS/ ADMINISTRATIVE SER,"116,902.09"
AFG01,08/01/2013,0000002985,DR. WASFIA RAHIMI,DEU,BUSINESS/ ADMINISTRATIVE SER,"144,000.00"
SWE01,08/01/2013,0000000142,FASTIGHETS AB GETINGSVARMEN 15,SWE,BUSINESS/ ADMINISTRATIVE SER,"151,302.71"
GBR01,09/01/2013,0000000235,DENTON WILDE SAPTE,GBR,BUSINESS/ ADMINISTRATIVE SER,"210,823.91"
JOR01,09/01/2013,0000001758,Kuehne+Nagel,JOR,TRANSPORT SUPPORT,"282,485.88"
JOR01,09/01/2013,0000001760,International for foam and Mattresses,JOR,BEDCLOTHES/ MATRESSES/ TOWELS,"1,446,824.86"
RSHNA,09/01/2013,0000000867,AFRICAN POPULATION HEALTH RESEARCH CENTR,KEN,BUSINESS/ ADMINISTRATIVE SER,"108,830.76"
HQSMS,10/01/2013,0000022046,REGIE DU RHONE SA,CHE,BUSINESS/ ADMINISTRATIVE SER,"139,929.75"
HQSMS,10/01/2013,0000022049,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"280,239.60"
HQSMS,10/01/2013,0000022052,BADGECOM GMBH,CHE,PRINTER/ PRINTER ACCESSORIES,"155,167.50"
IRN01,10/01/2013,0000005113,Ms. Mahin Assadi,ARE,BUSINESS/ ADMINISTRATIVE SER,"112,000.00"
THA01,10/01/2013,0000000807,QUALITY HOUSES LEASEHOLD PROPERTY FUND,THA,BUSINESS/ ADMINISTRATIVE SER,"149,138.38"
UGA01,10/01/2013,0000003450,LUBEGA CHARLES,UGA,BUSINESS/ ADMINISTRATIVE SER,"144,000.00"
CHN01,11/01/2013,0000001240,BEIJING HOUSING SERVICE CORP FOR DM,CHN,BUSINESS/ ADMINISTRATIVE SER,"109,356.86"
JPN01,11/01/2013,0000000449,Ippan Zaidanhojin Wesley Foundation,JPN,BUSINESS/ ADMINISTRATIVE SER,"223,291.92"
PSFRL,11/01/2013,0000000009,DENTON WILDE SAPTE,GBR,BUSINESS/ ADMINISTRATIVE SER,"208,966.07"
HQSMS,14/01/2013,0000022059,S&H SWITZERLAND,CHE,COMPUTER SERVICES,"193,633.37"
HQSMS,14/01/2013,0000022064,BT SWITZERLAND LTD,CHE,COMPUTER SERVICES,"175,224.00"
IND01,14/01/2013,0000000353,RAMADHAR & COMPANY,IND,BUSINESS/ ADMINISTRATIVE SER,"327,689.79"
COD01,15/01/2013,0000004603,SPRL HYDROFORMULE,COD,PETROL/BENZINE,"200,400.00"
GEO01,15/01/2013,0000001372,BUSINESS CENTRE SABURTALO LTD,GEO,BUSINESS/ ADMINISTRATIVE SER,"120,000.00"
HQSMS,15/01/2013,0000022065,ALLIED TRANSPORT AGENT,TZA,TRANSPORT SUPPORT,"127,974.25"
HQSMS,15/01/2013,0000022066,EMERGING MARKETS COMMUNICATIONS INC,USA,TELECOMS SERVICES,"4,627,625.00"
HQSMS,15/01/2013,0000022067,E-SECURE SARL,CHE,COMPUTER SERVICES,"105,823.48"
HQSMS,15/01/2013,0000022070,FONDATION DES PARKINGS,CHE,BUSINESS/ ADMINISTRATIVE SER,"241,844.13"
TZA01,15/01/2013,0000002349,ANDREW SHARAU DANIEL MINJA,TZA,BUSINESS/ ADMINISTRATIVE SER,"208,224.00"
IDN01,16/01/2013,0000000504,PT. RAVINDO BANGUN PERSADA,IDN,BUSINESS/ ADMINISTRATIVE SER,"204,312.99"
HQSMS,17/01/2013,0000022090,FIPOI,CHE,BUSINESS/ ADMINISTRATIVE SER,"2,757,367.73"
HQSMS,17/01/2013,0000022092,THINK CONSULTING SOLUTIONS LTD.,GBR,COMPUTER SERVICES,"144,633.28"
