Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,31/08/2015,0000031420,SPARTAN RELIEF SUPPLIES LIMITED,KEN,KITCHENWARE,"138,600.00"
HQSMS,31/08/2015,0000031430,Stirling HSSE Limited,JEY,EDUCATION/ TRAINING SERVICES,"304,600.00"
JOR01,31/08/2015,0000003747,FINE HYGIENIC PAPER CO.,JOR,PERSONAL CARE PRODUCTS,"384,745.77"
JOR01,31/08/2015,0000003748,Al Hourani Hygienic Paper Co.,JOR,PERSONAL CARE PRODUCTS,"365,301.69"
SSD01,31/08/2015,0000002279,Juba Office Cleaning Services  LTD,SSD,MAINTENANCE/ CONSTRUCTION SER,"233,046.32"
YEM01,30/08/2015,0000002733,ALQUSS COMPANY FOR TRADING,YEM,CUTTING/ PUNCHING TOOLS,"114,785.00"
HQSMS,27/08/2015,0000031402,PLANSON INTERNATIONAL CO.,USA,PRINTER/ PRINTER ACCESSORIES,"208,560.00"
HQSMS,26/08/2015,0000031394,ACCENTURE LLP,USA,FINANCIAL SERVICES,"285,000.00"
HQSMS,26/08/2015,0000031398,KUEHNE AND NAGEL A/S,DNK,CARGO/PASSENGER TRANSPORT,"118,240.00"
TUR01,26/08/2015,0000002159,KUEHNE AND NAGEL A/S,DNK,STORAGE/PACKING/HANDLING,"315,200.00"
DONIK,25/08/2015,0000000267,FUJI OPTICAL,AZE,MISC MEDICAL SUPPLIES,"187,388.59"
HQSMS,25/08/2015,0000031375,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"153,660.00"
HQSMS,25/08/2015,0000031377,W. GIERTSEN HALLSYSTEM AS,NOR,LAMP/ LAMP COMPONENTS,"151,149.60"
HQSMS,25/08/2015,0000031381,W. GIERTSEN HALLSYSTEM AS,NOR,LAMP/ LAMP COMPONENTS,"151,149.60"
HQSMS,25/08/2015,0000031382,KUEHNE AND NAGEL A/S,DNK,STORAGE/PACKING/HANDLING,"148,440.00"
HQSMS,25/08/2015,0000031384,W. GIERTSEN HALLSYSTEM AS,NOR,LAMP/ LAMP COMPONENTS,"205,731.40"
JOR01,25/08/2015,0000003741,Irbid District Electricity Company LTD,JOR,ELECTRICAL SUPPL,"115,556.72"
HQSMS,24/08/2015,0000031349,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"186,300.00"
HQSMS,24/08/2015,0000031351,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"217,350.00"
HQSMS,24/08/2015,0000031352,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"217,350.00"
HQSMS,24/08/2015,0000031353,TECHNO TARP & POLIMERS PVT LTD,IND,PLASTIC PRODUCTS (SHEETS & ROL,"126,564.00"
HQSMS,24/08/2015,0000031354,TECHNO TARP & POLIMERS PVT LTD,IND,PLASTIC PRODUCTS (SHEETS & ROL,"129,540.00"
HQSMS,24/08/2015,0000031356,TECHNO TARP & POLIMERS PVT LTD,IND,PLASTIC PRODUCTS (SHEETS & ROL,"317,430.00"
HQSMS,24/08/2015,0000031359,TECHNO TARP & POLIMERS PVT LTD,IND,PLASTIC PRODUCTS (SHEETS & ROL,"113,347.50"
KEN01,24/08/2015,0000007968,EXPRESS TRAVEL GROUP LTD,KEN,MEETING/TRAVEL/ FOOD SER,"175,000.00"
SSD01,24/08/2015,0000002271,UNMISS,CHE,TELECOMS SERVICES,"500,000.00"
HQSMS,21/08/2015,0000031343,ALPINTER,BEL,BLANKETS,"294,840.00"
HQSMS,21/08/2015,0000031345,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"348,737.70"
CHN01,20/08/2015,0000001649,HONG KONG FUNDRAISING CONSULTANCY LTD,HKG,ADVERTISING/ INFORMATION SER,"232,198.14"
CHN01,20/08/2015,0000001650,MVP CONSULTANTS & DEVELOPMENT LIMITED,HKG,ADVERTISING/ INFORMATION SER,"180,598.56"
KEN01,20/08/2015,0000007961,WFP SOMALIA,KEN,MEETING/TRAVEL/ FOOD SER,"236,400.00"
PAK01,20/08/2015,0000005035,PRIME CONSTRUCTION COMPANY,PAK,MAINTENANCE/ CONSTRUCTION SER,"787,110.75"
THA01,20/08/2015,0000001201,IPG ADVERTISING (TH) LTD. - LOWE,THA,ADVERTISING/ INFORMATION SER,"309,823.47"
DONIK,19/08/2015,0000000264,ROYAL DANISH MINISTRY OF FOREIGN AFFAIRS,DNK,BUSINESS/ ADMINISTRATIVE SER,"796,000.00"
ETH01,19/08/2015,0000004285,ETAB SOAP FACTORY,ETH,SOAP/CLEANING /HYGIENE SUPPLIE,"397,500.00"
HQSMS,19/08/2015,0000031327,Stirling HSSE Limited,JEY,EDUCATION/ TRAINING SERVICES,"106,122.00"
HQSMS,19/08/2015,0000031331,N-R-S INTERNATIONAL -  FZE,ARE,BLANKETS,"302,064.00"
HQSMS,19/08/2015,0000031332,N-R-S INTERNATIONAL -  FZE,ARE,BLANKETS,"212,898.00"
HQSMS,19/08/2015,0000031335,N-R-S INTERNATIONAL -  FZE,ARE,BLANKETS,"120,423.00"
HQSMS,19/08/2015,0000031339,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"607,399.83"
