Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
DONIK,31/12/2016,0000000381,TOMS SHOES LLC,USA,FOOTWEAR,"422,711"
DONIK,31/12/2016,0000000382,TOMS SHOES LLC,USA,FOOTWEAR,"1,152,645"
DONIK,31/12/2016,0000000383,TOMS SHOES LLC,USA,FOOTWEAR,"116,150"
DONIK,31/12/2016,0000000392,Fast Retailing Co. Ltd.,JPN,CLOTHING,"497,134"
DONIK,31/12/2016,0000000397,UPS Foundation,USA,TRANSPORT SUPPORT,"145,000"
HQSMS,30/12/2016,0000037301,TOYOTA MOTOR CORPORATION,JPN,4x4 STATION WAGON,"498,001"
HQSMS,30/12/2016,0000037301,TOYOTA MOTOR CORPORATION,JPN,4x4 DC PICK-UP,"311,276"
HQSMS,30/12/2016,0000037301,TOYOTA MOTOR CORPORATION,JPN,4x4 STATION WAGON,"191,278"
HQSMS,30/12/2016,0000037312,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"370,750"
HQSMS,30/12/2016,0000037319,LANDESK UK Ltd.,GBR,COMPUTER SERVICES,"158,590"
HQSMS,30/12/2016,0000037322,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"144,760"
HQSMS,30/12/2016,0000037324,UNITED NATIONS OFFICE AT GENEVA,CHE,BUSINESS/ ADMINISTRATIVE SER,"400,000"
LBN01,30/12/2016,0000002340,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"114,084"
HQSMS,29/12/2016,0000037238,KITCHEN ESSENTIALS,IND,KITCHENWARE,"310,429"
HQSMS,29/12/2016,0000037238,KITCHEN ESSENTIALS,IND,KITCHENWARE,"107,214"
HQSMS,29/12/2016,0000037242,NOVACOM SERVICES,FRA,SATELLITE EQUIP/ ACCESSORIES,"115,000"
HQSMS,29/12/2016,0000037257,TOYOTA MOTOR CORPORATION,JPN,SEDAN,"109,900"
HQSMS,29/12/2016,0000037259,KPMG France SA,FRA,FINANCIAL SERVICES,"240,756"
HQSMS,29/12/2016,0000037263,Moore Stephens LLP,GBR,FINANCIAL SERVICES,"187,764"
JOR01,29/12/2016,0000004448,Bibars Foam MFG.,JOR,BEDCLOTHES/ MATRESSES/ TOWELS,"149,996"
UGA01,29/12/2016,0000005925,KEYSTONE CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"142,715"
UGA01,29/12/2016,0000005926,KEYSTONE CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"112,442"
UGA01,29/12/2016,0000005927,KEYSTONE CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"120,041"
UGA01,29/12/2016,0000005928,BCM CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"131,229"
DONIK,28/12/2016,0000000391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"159,500"
DONIK,28/12/2016,0000000391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"165,500"
DONIK,28/12/2016,0000000391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"130,000"
DONIK,28/12/2016,0000000391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"219,500"
DONIK,28/12/2016,0000000391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"650,500"
DONIK,28/12/2016,0000000391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"975,000"
GRC01,28/12/2016,0000001890,INTRAKAT,GRC,PREFABRICATED House,"100,040"
GRC01,28/12/2016,0000001890,INTRAKAT,GRC,PREFABRICATED House,"100,040"
